,Segment ID,Roadway Name,From,To,From Lat,From Lon,To Lat,To Lon
98,30790,BEDFORD AVE,METROPOLITAN AVE,NORTH 1st ST,40.7153113,-73.9604365,40.7148883,-73.96088720000002
99,31072,MONTROSE AVE,UNION AVE,LORIME ST ,40.7066554,-73.9503883,40.7068502,-73.9482056
100,31148,METROPOLITAN AVE,UNION AVE,LORIMER ST,40.714075,-73.9516455,40.7140636,-73.9493933
101,31248,MESEROLE STREET,LEONARD  ST,LORIMER ST ,40.707754,-73.9465999,40.707593,-73.9483056
102,31308,MYRTLE AVE,THROOP AVE,TOMPKINS AVE,40.696031,-73.94352599999999,40.695706,-73.9463658
103,31559,WEST BROADWAY,DUANE STREET,THOMAS STREET,40.7166018,-74.0083762,40.7171283,-74.0079586
104,31890,HUDSON STREET,CHARLTON STREET,VANDAM STREET,40.7273316,-74.0073345,40.7266087,-74.0074515
105,32031,HUDSON STREET,GANSEVOORT STREET,HORATIO STREET,40.7394118,-74.0053906,40.7387624,-74.0054984
106,32066,CORTLANDT ALLEY,WALKER STREET,WHITE STREET,40.7183168,-74.00183969999999,40.71769279999999,-74.0023458
107,66455,56th RD,43rd ST,48th ST,40.7287902,-73.926143,40.726213,-73.920515
108,32095,CANAL STREET,BROADWAY,CORTLANDT ALLEY,40.719393,-74.0018987,40.71895689999999,-74.00128629999999
109,32126,AVENUE OF THE AMERICAS ,VANDAM STREET , SPRING STREET  ,40.7262643,-74.0037617,40.7255273,-74.00405769999999
110,32137,WEST BROADWAY,PRINCE STREET,SPRING STREET,40.7257812,-74.000907,40.7245656,-74.0019192
111,32274, 8 AVENUE  , HORATIO STREET , WEST 4 STREET  ,40.738756,-74.003446,40.7382921,-74.00397459999999
112,32327,GRAND STREET,BROADWAY,CROSBY STREET,40.7208716,-74.00063349999999,40.7204318,-73.9998628
113,32361,BROOME STREET,BROADWAY,CROSBY STREET,40.7217896,-73.9998669,40.7214268,-73.9990327
114,32364,BROADWAY,PRINCE STREET,SPRING STREET,40.7242289,-73.9977901,40.7230414,-73.99878609999999
115,32366,SPRING STREET,BROADWAY,CROSBY STREET,40.7230414,-73.99878609999999,40.7226532,-73.9979869
116,32443,7 AVENUE,WEST 12 STREET,WEST 13 STREET,40.7372245,-74.0006804,40.7378694,-74.0002019
117,32449,AVENUE OF AMERICAS,WEST 11 STREET,WEST 12 STREET,40.735378,-73.9982757,40.7360172,-73.997813
118,32585,E 4TH ST,BROADWAY ,LAFAYETTE ST,40.7284285,-73.9942583,40.7278625,-73.9931345
119,32618,5 AVENUE,EAST 11 STREET,EAST 12 STREET,40.7340256,-73.9950724,40.7346736,-73.9945869
120,32698, BOWERY  , EAST HOUSTON STREET , PRINCE STREET  ,40.7240419,-73.99254309999999,40.7223341,-73.9931936
121,32706,CHRYSTIE STREET,2 AVENUE,DELANCEY STREET,40.7237544,-73.991033,40.7199205,-73.9929172
122,32775,4 AVENUE,EAST 9 STREET,EAST 10 STREET,40.7305472,-73.99049219999999,40.7312538,-73.9903946
123,32787,BROADWAY,EAST 11 STREET,EAST 12 STREET,40.73244589999999,-73.991281,40.733201,-73.9911174
124,32807,EAST 14 STREET,4 AVENUE,BROADWAY,40.7344478,-73.9899078,40.7348005,-73.9907326
125,32932,3 AVENUE,EAST 12 STREET,EAST 13 STREET,40.73197529999999,-73.9881577,40.7326097,-73.9876848
126,33012,5 AVENUE,BROADWAY,EAST 26 STREET,40.7423132,-73.98901769999999,40.743444,-73.9882085
127,33064,CLINTON STREET,DELANCEY STREET,RIVINGTON STREET,40.7176254,-73.98582549999999,40.7190891,-73.9850731
128,33115,2 AVENUE,EAST 12 STREET,EAST 13 STREET,40.7310008,-73.9859207,40.7316589,-73.9854323
129,33121,1 AVENUE,EAST 12 STREET,EAST 13 STREET,40.7300043,-73.9835255,40.7306517,-73.9830602
130,33184,LEXINGTON AVENUE,EAST 26 STREET,EAST 27 STREET,40.7414154,-73.98336669999999,40.7420182,-73.98292219999999
131,33196,PITT STREET,DELANCEY STREET,STANTON STREET,40.7166546,-73.9832613,40.7194763,-73.981943
132,33255,AVENUE B,EAST 11 STREET,EAST 12 STREET,40.7274569,-73.97945530000001,40.72809770000001,-73.9789887
133,33305,3 AVENUE,EAST 27 STREET,EAST 28 STREET,40.7413335,-73.9813051,40.7419747,-73.98086889999999
134,33411,11 AVENUE,WEST 27 STREET,WEST 28 STREET,40.7514154,-74.0051723,40.7520323,-74.0047257
135,33471,10 AVENUE,WEST 27 STREET,WEST 28 STREET,40.7502166,-74.0023398,40.7508373,-74.00188519999999
136,33547,9 AVENUE,WEST 25 STREET,WEST 26 STREET,40.7477802,-74.00043409999999,40.7484192,-73.99999389999999
137,33612,11 AVENUE,WEST 43 STREET,WEST 44 STREET,40.7615124,-73.9978323,40.7621338,-73.99738850000001
138,33645,8 AVENUE,WEST 26 STREET,WEST 27 STREET,40.7472041,-73.9970975,40.7478166,-73.9966529
139,33652,7 AVENUE,WEST 27 STREET,WEST 28 STREET,40.74662319999999,-73.9938171,40.7472392,-73.9933645
140,33758,10 AVENUE,WEST 45 STREET,WEST 46 STREET,40.7615582,-73.9940582,40.7621935,-73.99361259999999
141,33796,AVENUE OF THE AMERICAS,WEST 26 STREET,WEST 27 STREET,40.7447955,-73.99142189999999,40.745418,-73.99096229999999
142,33848,9 AVENUE,WEST 45 STREET,WEST 46 STREET,40.7603606,-73.9912374,40.7609837,-73.9907751
143,33879,BROADWAY,WEST 27 STREET,WEST 28 STREET,40.7445271,-73.98887289999999,40.7452961,-73.9887403
144,33886,5 AVENUE,EAST 27 STREET,EAST 28 STREET,40.7440656,-73.98775400000001,40.7446868,-73.9873046
145,33891,WEST 29 STREET,5 AVENUE,BROADWAY,40.7452995,-73.98684109999999,40.7460445,-73.9885838
146,33959,8 AVENUE,WEST 45 STREET,WEST 46 STREET,40.7591625,-73.988378,40.759791,-73.987927
147,34000,MADISON AVENUE,EAST 27 STREET,EAST 28 STREET,40.7433809,-73.9861572,40.7440111,-73.98569169999999
148,34013,WEST 30 STREET,5 AVENUE,BROADWAY,40.7459153,-73.9864107,40.7467947,-73.9884889
149,34027,WEST 34 STREET,5 AVENUE,AVE OF THE AMER,40.7484394,-73.9845729,40.7497819,-73.9877534
150,34073,7 AVENUE,BROADWAY,WEST 46 STREET,40.7577845,-73.98568019999999,40.75858059999999,-73.9850687
151,34124,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,40.77048,-73.98385499999999,40.7711301,-73.9834034
152,34170,WEST 39 STREET,5 AVENUE,AVE OF THE AMER,40.7515863,-73.9822815,40.7529301,-73.98548219999999
153,34188,AVENUE OF THE AMERICAS,WEST 45 STREET,WEST 46 STREET,40.7567653,-73.98270230000001,40.7573938,-73.98225029999999
154,34257,CENTRAL PARK WEST,WEST 61 STREET,COLUMBUS CIRCLE,40.7692978,-73.9810471,40.7682791,-73.9814387
155,34340,AMSTERDAM AVENUE,WEST 61 STREET,WEST 62 STREET,40.7716714,-73.9866972,40.7723021,-73.9862412
156,34512,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,40.7793005,-73.9811343,40.7799331,-73.980677
157,34607,AVENUE C,EAST 11 STREET,EAST 12 STREET,40.72647420000001,-73.9770989,40.7271073,-73.9766362
158,34654,1 AVENUE,EAST 26 STREET,EAST 27 STREET,40.7387856,-73.9771481,40.7393956,-73.9766952
159,34659,2 AVENUE,EAST 27 STREET,EAST 28 STREET,40.74042379999999,-73.9790846,40.74104,-73.97865259999999
160,35041,COMMERCIAL ST,CLAY ST,BOX ST,40.7363695,-73.95832109999999,40.737159,-73.95688310000001
161,35178,ASH ST,COMMERCIAL ST,MC GUINNESS,40.7380024,-73.9553589,40.7382029,-73.9529467
162,35252,BEDFORD AVE,LORIMER ST,NORTH 12th ST,40.7235178,-73.9516661,40.7205975,-73.9547554
163,35257,DRIGGS AVE,LORIMER ST,NORTH 12th ST,40.7217156,-73.9506335,40.7197924,-73.9534724
164,35672,GREENPOINT AVE,N. HENRY ST,PROVOST ST,40.7320844,-73.9445901,40.7306724,-73.9492191
165,35806, 5 AVENUE  , EAST 46 STREET  , EAST 47 STREET  ,40.7560369,-73.979021,40.7566626,-73.97855539999999
166,35960, 3 AVENUE  , EAST 46 STREET  , EAST 47 STREET  ,40.7533249,-73.9725945,40.7539542,-73.97214749999999
167,36023,5 AVENUE,WEST 59 STREET,WEST 60 STREET,40.7642832,-73.9730166,40.76492409999999,-73.9725552
168,36112, 2 AVENUE  , EAST 46 STREET  , EAST 47 STREET  ,40.752367,-73.9703354,40.7529921,-73.96987969999999
169,36162,MADISON AVENUE,EAST 59 STREET,EAST 60 STREET,40.7635936,-73.97142869999999,40.7642243,-73.9709714
170,36272, 3 AVENUE  , EAST 59 STREET  , EAST 60 STREET  ,40.7615833,-73.9665806,40.7621826,-73.9661193
171,36403, 1 AVENUE  , EAST 60 STREET  , EAST 61 STREET  ,40.7602427,-73.96151119999999,40.7608662,-73.9610606
172,36574, 3 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.7704307,-73.9601096,40.7710693,-73.95966039999999
173,36579, 2 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.7695019,-73.957898,40.77012,-73.9574092
174,36674, 1 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.7684948,-73.9555015,40.7691234,-73.95504559999999
175,36803,YORK AVENUE,EAST 74 STREET,EAST 75 STREET,40.7681765,-73.95279409999999,40.7688161,-73.95232469999999
176,37189,CENTRAL PARK WEST,WEST 74 STREET,WEST 75 STREET,40.7775456,-73.9750068,40.7781814,-73.9745414
177,37277,WEST END AVENUE,WEST 97 STREET,WEST 98 STREET,40.7959402,-73.9727125,40.796575,-73.9722692
178,37362,AMSTERDAM AVE,WEST 99 ST  , WEST 100 ST ,40.795988,-73.96895599999999,40.7966173,-73.9684943
179,37374, 5 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.7731481,-73.9665404,40.7737839,-73.966075
180,37916,3 AVE  , EAST 99 ST  , EAST 100 ST  ,40.7871366,-73.9479201,40.7877698,-73.9474512
181,38035, 1 AVE  , EAST 99 ST  , EAST 97 ST  ,40.7851691,-73.9433181,40.7839524,-73.9442217
